UPC,ASIN,Item Name,Cost,Manufacturer,Sales Rank,Listing Price,New Offer Count,FBA Fees,FBM Fees,Total Costs,Net Profit,ROI (%)
97121200266,B005TIL944,Ecological Laboratories Microbe-Lift Barley Straw Pellets PLUS (4.4 lbs.),20.6,Ecological Laboratories,563542,26.61,7,11.16,3.99,31.76,-5.15,-25.00%
97121200693,B0009YD66M,"MICROBE-LIFT MLCBSE500 Concentrated Barley Straw Extract Conditioner for Ponds and Outdoor Water Garden, Safe for Live Koi Fish, Plants, and Decorations, 16 Ounces",13.36,Ecological Laboratories Inc.,6524,16.24,10,7.43,2.44,20.79,-4.55,-34.06%
015905060431,B00176CQTE,Aqueon Goldfish Flakes 3.59 Ounces,0.05,Central Garden & Pet,15598,7.99,9,4.58,1.2,4.63,3.36,6720.00%
015905060448,B00176GUUU,"Aqueon Goldfish Fish Food Flakes, 7.12 Ounces",1.25,Central Garden & Pet,15598,10.28,13,6.09,1.54,7.34,2.94,235.20%
97121200839,B000P6EFDM,"MICROBE-LIFT MLCAPM10 Concentrated Aquatic Planting Media for Accelerated Plant Growth in Ponds and Water Gardens, 10 Pounds",21.34,Ecological Labs,22688,25,8,12.99,3.75,34.33,-9.33,-43.72%
97121200846,B000I1R1EY,"MICROBE-LIFT MLCAPM20 Concentrated Aquatic Planting Media for Accelerated Plant Growth in Ponds and Water Gardens, 20 Pounds",27.22,Ecological Labs,22688,47.62,6,24.73,7.14,51.95,-4.33,-15.91%
97121200884,B000256ERG,"MICROBE-LIFT Sludge-Away Pond and Outdoor Water Garden Sludge and Muck Remover, Safe for Live Koi Fish, Plant Life, and Décor (32 Ounces)",22.92,Ecological Laboratories Inc.,12953,22,31,9.35,3.3,32.27,-10.27,-44.81%
97121200884,B00FNCVG9O,Microbe-Lift Sludge Away,22.92,Microbe Lift,456211,0,5,5.58,0.3,28.5,-28.5,-124.35%
97121200891,B000F5XK2U,"MICROBE-LIFT Sludge-Away, 1 Gallon, Pond and Outdoor Water Garden Sludge and Muck Remover, Safe for Live Koi Fish, Plant Life, and Decor",42.16,Ecological Laboratories Inc.,12953,52.91,21,17.58,7.94,59.74,-6.83,-16.20%
97121201737,B000P8AOTO,"MICROBE-LIFT Nite-Out II Water Cleaner for Outdoor Ponds and Water Gardens, Rapid Ammonia and Nitrite Reduction (32 Ounces)",18.33,Ecological Laboratories Inc.,52266,18.8,11,8.87,2.82,27.2,-8.4,-45.83%
97121201973,B00186XACK,"MICROBE-LIFT Nite-Out II Water Cleaner for Outdoor Ponds and Water Gardens, Rapid Ammonia and Nitrite Reduction (1 Gallon)",50.14,Ecological Laboratories Inc.,52266,63.28,11,18.25,9.49,68.39,-5.11,-10.19%
97121202147,B00176EO7Q,Ecological Laboratories Microbe-Lift Pond Ammonia Remover Size: 32 oz.,17.24,Ecological Laboratories,833185,22.49,6,9.58,3.37,26.82,-4.33,-25.12%
015561104920,B001XRVX8C,"Fluval U4 Poly-Carb Cartridge, Replacement Underwater Aquarium Filter Media, 2-Pack, A492",0.75,Rolf C. Hagen (USA) Corp.,15600,7.24,6,4.22,1.09,4.97,2.27,302.67%
038100535788,B00780VRWA,Purina Beggin' Strips With Real Meat Dog Training Treats With Bacon and Cheese Flavors - (6) 6 oz. Pouches,1.75,Nestle Purina Pet,15634,19,12,10.34,2.85,12.09,6.91,394.86%
97121203991,B000P8FW9G,"MICROBE-LIFT ALGA16 Algaway 5.4 Algae Control Treatment for Ponds and Water Gardens, Safe for Koi Fish, Goldfish, Plants, and Decorations, 16 Ounces",13.33,"Ecological Laboratories, Inc.",1714,11.99,13,6.79,1.8,20.12,-8.13,-60.99%
97121204004,B000P8DXIS,"MICROBE-LIFT ALGA32 Algaway 5.4 Algae Control Treatment for Ponds and Water Gardens, Safe for Koi Fish, Goldfish, Plants, and Decorations, 32 Ounces",19.41,"Ecological Laboratories, Inc.",1714,20.25,15,8.91,3.04,28.32,-8.07,-41.58%
97121204011,B000P8JNX2,"MICROBE-LIFT ALGAGAL Algaway 5.4 Algae Control Treatment for Ponds and Water Gardens, Safe for Koi Fish, Goldfish, Plants, and Decorations, 1 Gallon",40.58,"Ecological Laboratories, Inc.",1714,50.28,21,16.3,7.54,56.88,-6.6,-16.26%
97121204479,B00176ENNG,"MICROBE-LIFT NITEH16 Nite-Out II Aquarium and Fish Tank Cleaner for Rapid Ammonia and Nitrite Reduction, Freshwater and Saltwater, 16 Ounces",13.09,Ecological Laboratories Inc.,5531,14.84,8,7.22,2.23,20.31,-5.47,-41.79%
091197227028,B0006L2UD8,"Fluker's Incandescent Black Nightlight Bulbs for Reptiles, 75 Watt",0.5,Fluker Labs,15926,5.09,9,3.67,0.76,4.17,0.92,184.00%
091197300042,B000EVKG54,"Fluker's Reptile Bowl, Extra Small",0.05,Fluker Labs,15938,7.38,13,3.49,1.11,3.54,3.84,7680.00%
97121204929,B0018CM0T8,"MICROBE-LIFT THERAPH16 TheraP Fish Care Treatment for Freshwater and Saltwater Home Aquariums and Tanks, 16 Ounces",13.14,Ecological Laboratories Inc.,109557,0,2,4.52,0.3,17.66,-17.66,-134.40%
97121206213,B0046RDD1G,"MICROBE-LIFT Broad Spectrum Disease Treatment for Ponds and Outdoor Water Gardens, Safe for Live Koi Fish, Goldfish, Plants, and Decor, 32 Fl Oz",25.18,Ecological Laboratories Inc.,26295,36.73,17,13.07,5.51,38.25,-1.52,-6.04%
97121206220,B001YTX53A,"MICROBE-LIFT BSDTG1 Broad Spectrum Disease Treatment for Ponds and Outdoor Water Gardens, for Live Koi Fish, Goldfish, Plants, and Decor, 1 Gallon",42.06,Ecological Laboratories Inc.,26295,59,14,17.69,8.85,59.75,-0.75,-1.78%
97121208675,B005FTMHQ6,"MICROBE-LIFT Remover and Treatment for Lice and Anchor Worms in Fish Tanks, 16oz",15.72,Microbe-Lift,48457,19.41,9,7.9,2.91,23.62,-4.21,-26.78%
015905069755,B00NMZO5CE,Aqueon Replacement Internal Filter Cartridge Large - 2 pack,2.01,Central Garden & Pet,16026,8.11,11,4.35,1.22,6.36,1.75,87.06%
097612112009,B003I5VOMM,Zoo Med Original Banquet Feeding Block Regular (100 Count),39.37,Zoo Med Laboratories,16210,60.48,4,16.47,9.07,55.84,4.64,11.79%
097612115000,B003I5XHLS,Zoo Med Original Banquet Feeding Block Giant (50 count),36.68,Zoo Med Laboratories,16210,56,10,15.89,8.4,52.57,3.43,9.35%
97121523457,B0006IGZCI,"MICROBE-LIFT PL Pond Bacteria and Outdoor Water Garden Cleaner, Safe for Live Koi Fish, Plant Life, and Decor, 32 Ounces",23.51,Ecological Laboratories Inc.,2642,22.28,30,9.39,3.34,32.9,-10.62,-45.17%
97121562647,B0002HBMMG,"MICROBE-LIFT AUTPREP Autumn and Winter Prep Seasonal Conditioner for Ponds and Outdoor Water Gardens, Safe for Live Koi Fish, Plants, and Decor, 32 ounce liquid and 4 2-ounce packets",16.72,Ecological Labs,34408,25.99,24,10.52,3.9,27.24,-1.25,-7.48%
097612113006,B01K0BJUPO,"Zoo Med Laboratories AZMBB2 Mini Banquet Block Feeders, 12 Count",0.05,Zoo Med,16210,6.6,11,4.37,0.99,4.42,2.18,4360.00%
97121562654,B0006JLMRK,"MICROBE-LIFT 10XSSCX1 Spring and Summer Pond and Outdoor Water Garden Cleaner, Safe for Live Koi Fish, Plant Life, and Decor, 16 Ounces",22.37,Ecological Laboratories Inc.,48323,26.73,20,9,4.01,31.37,-4.64,-20.74%
97121562654,B00R9IRQZ8,Ecological Laboratories S Microbe Lift 10XSSCX1 1 Pound Spring & Summer Pond Cleaner,22.37,Microbe Lift,95480,27.99,9,9.19,4.2,31.56,-3.57,-15.96%
97121562654,B007R5798C,Spring/Summer Cleaner by Microbe-Lift 16 oz.,22.37,MicrobeLift,160482,24.79,14,8.71,3.72,31.08,-6.29,-28.12%
97121943453,B0002HBMO4,"MICROBE-LIFT PL Pond Bacteria and Outdoor Water Garden Cleaner, Safe for Live Koi Fish, Plant Life, and Decor, 16 Ounces",14.75,Ecological Laboratories Inc.,2642,16.76,20,7.5,2.51,22.25,-5.49,-37.22%
097612113006,B003JW0OE8,"Zoo Med Laboratories AZMBB2 Mini Banquet Block Feeders, Fish, 0.02 pounds",0.05,TopDawg Pet Supply,16210,4.08,9,2.9,0.61,2.95,1.13,2260.00%
077234542170,B01N1UG5VS,"SPOT Skinneeez Extreme Quilted Raccoon - Durable, Stuffing Free Dog Toy with 4 Layers of Diamond Stitched Fabric & 2 Squeakers- Ideal for Small & Medium Aggressive Puppies and Dogs- 14in",0.25,Ethical Products/Fashion Pet,16528,9.39,11,4.32,1.41,4.57,4.82,1928.00%
45663000028,B0002ASFIW,Four Paws Pet Products Nurser Bottles Counter Box 2oz (24Pc),18.41,Four Paws,44402,27.21,11,9.85,4.08,28.26,-1.05,-5.70%
018214848684,B07XF91XXR,"Nylabone Power Play Basketball B-Ball Gripz Fetch Toy, Squeaky Ball Chew Toy for Dogs, Medium (1 Count)",2.5,Central Garden & Pet,16594,9.63,12,5.22,1.44,7.72,1.91,76.40%
45663016142,B0002ASIA2,"Four Paws Wee-Wee Superior Performance Pee Pads for Dogs of All Sizes, Leak-Proof Floor Protection Dog & Puppy Quilted Potty Training Pads, Unscented, 22"" x 23"" (14 Count)",9.89,Central Garden & Pet,1671,10.99,23,6.55,1.65,16.44,-5.45,-55.11%
45663016142,B01EZNGISA,Four Paws Wee Wee Pads Pet Training Size: 14 Pack,9.89,Four Paws,622726,20.91,7,,,,,nan%
45663016289,B000JMLRSI,"Four Paws Wee-Wee Superior Performance Little Pee Pads for Small Dogs, Leak-Proof Floor Protection Dog & Puppy Quilted Potty Training Pads, Unscented, 16.5""x23.5"" (28 Count)",14.75,Central Garden & Pet,24573,17.98,17,9.47,2.7,24.22,-6.24,-42.31%
45663016302,B0002ASIAC,"Four Paws Wee-Wee Superior Performance Pee Pads for Dogs of All Sizes, Leak-Proof Floor Protection Dog & Puppy Quilted Potty Training Pads, Unscented, 22"" x 23"" (30 Count)",15.59,Central Garden & Pet,1671,12.84,8,8.94,1.93,24.53,-11.69,-74.98%
45663016302,B00BS96AHO,Four Paws Wee-Wee Pads for Puppies Pack Size: 30 Pack,15.59,Four Paws,382068,23.87,6,10.98,3.58,26.57,-2.7,-17.32%
45663016357,B00025YTZA,"Four Paws Wee-Wee Superior Performance Pee Pads for Dogs of All Sizes, Leak-Proof Floor Protection Dog & Puppy Quilted Potty Training Pads, Unscented, 22"" x 23"" (50 Count)",22.36,Central Garden & Pet,1671,21.4,14,11.57,3.21,33.93,-12.53,-56.04%
45663016357,B0002ASIA2,"Four Paws Wee-Wee Superior Performance Pee Pads for Dogs of All Sizes, Leak-Proof Floor Protection Dog & Puppy Quilted Potty Training Pads, Unscented, 22"" x 23"" (14 Count)",22.36,Central Garden & Pet,1671,10.99,23,6.55,1.65,28.91,-17.92,-80.14%
45663016357,B07KKGXJFQ,Wee Wee Pads For Puppies,22.36,,256441,28.24,5,12.28,4.24,34.64,-6.4,-28.62%
45663016395,B002S47PDQ,"Four Paws Wee-Wee Superior Performance Pee Pads for Dogs of All Sizes, Leak-Proof Floor Protection Dog & Puppy Quilted Potty Training Pads, Unscented, 22"" x 23"" (100 Count)",29.99,Central Garden & Pet,1671,32.39,6,19.79,4.86,49.78,-17.39,-57.99%
015561183604,B00G25IBCQ,"Fluval Plant Micro Nutrient for Aquariums, 8.4-Ounce",0.75,Rolf C. Hagen (USA) Corp.,16736,6.51,9,4.36,0.98,5.11,1.4,186.67%
45663016401,B0002DJT9S,"Four Paws Wee-Wee Superior Performance Pee Pads for Dogs of All Sizes, Leak-Proof Floor Protection Dog & Puppy Quilted Potty Training Pads, Unscented, 22"" x 23"" (100 Count)",30.57,Central Garden & Pet,6418,32.39,8,14.03,4.86,44.6,-12.21,-39.94%
45663016418,B002VS6PYE,"Four Paws Wee-Wee Superior Performance Pee Pads for Dogs of All Sizes, Leak-Proof Floor Protection Dog & Puppy Quilted Potty Training Pads, Unscented, 22"" x 23"" (150 Count)",29.99,Central Garden & Pet,1671,43.68,10,20.16,6.55,50.15,-6.47,-21.57%
45663016470,B00067P81I,"Four Paws Wee-Wee Superior Performance XL Pee Pads for Extra Large Dogs, Leak-Proof Floor Protection Dog & Puppy Quilted Potty Training Pads, Unscented, 28"" x 34"" (14 Count)",19.45,Central Garden & Pet,1237,14.71,10,9.22,2.21,28.67,-13.96,-71.77%
45663016470,B000NGS22O,Wee Wee Pads,19.45,Four Paws Products Ltd,578493,20,5,10.32,3,29.77,-9.77,-50.23%
45663016487,B000HCF9MU,"Four Paws Wee-Wee Superior Performance XL Pee Pads for Extra Large Dogs, Leak-Proof Floor Protection Dog & Puppy Quilted Potty Training Pads, Unscented, 28"" x 34"" (21 Count)",23.14,Central Garden & Pet,1237,18.32,12,10.16,2.75,33.3,-14.98,-64.74%
45663016494,B002VSDVJ6,"Four Paws Wee-Wee Superior Performance XL Pee Pads for Extra Large Dogs, Leak-Proof Floor Protection Dog & Puppy Quilted Potty Training Pads, Unscented, 28"" x 34"" (40 Count)",29.99,Central Garden & Pet,1237,32.32,8,17.32,4.85,47.31,-14.99,-49.98%
015561183598,B00G25IBHQ,"Fluval Plant Gro+, Plant Micro Nutrient for Aquariums, 4 Oz., A8359",0.05,Rolf C. Hagen (USA) Corp.,16736,4.99,6,3.88,0.75,3.93,1.06,2120.00%
45663016623,B004MJS5JI,"Four Paws Wee-Wee Superior Performance Gigantic Pee Pads for Extra Large Dogs, Leak-Proof Floor Protection Dog & Puppy Quilted Potty Training Pads, Unscented, 27.5"" x 44"" (8 Count)",9.45,Central Garden & Pet,54093,9.49,9,7.89,1.42,17.34,-7.85,-83.07%
45663016630,B004GWSIJ8,"Four Paws Wee-Wee Superior Performance Gigantic Pee Pads for Extra Large Dogs, Leak-Proof Floor Protection Dog & Puppy Quilted Potty Training Pads, Unscented, 27.5"" x 44"" (18 Count)",21.28,Central Garden & Pet,3246,17.22,16,10.54,2.58,31.82,-14.6,-68.61%
096316156302,B01LW0H47A,"(3 Pack) Zilla Mini Halogen Bulb, Day White, 25 Watt",0.05,Zilla,17219,21.49,10,7.37,3.22,7.42,14.07,28140.00%
018214845553,B07FQFM6LM,"NylaDental Bone Power Chew Flavor Frenzy Dental Bone Chew Toy for Dogs, Indestructible Chew Toys for Aggressive Chewers, Beef Jerky Flavor, Large/Giant - Up to 50 lbs. (1 Count)",1.05,Central Garden & Pet,17251,12.29,8,5.74,1.84,6.79,5.5,523.81%
45663017361,B0002ASICU,Four Paws Healthy Promise Pet Aid Fast-Acting Anti Itch Spray for Dogs & Cats 8 Oz.,4.53,Central Garden & Pet,112557,0,13,3.43,0.3,7.96,-7.96,-175.72%
45663017361,B005ZIJVZC,Pet Aid Anti-Itch Spray,4.53,Four Paws,237905,0,3,3.68,0.3,8.21,-8.21,-181.24%
45663017705,B000HCJWU0,"Four Paws Dog and Cat Ear Wipes, 25 count",0.05,Central Garden & Pet,126325,0,1,3.21,0.3,3.26,-3.26,-6520.00%
45663976248,B0BVGRF9VY,Four Paws Healthy Promise Pet Eye Wipes 35 Count,6.36,Central Garden & Pet,53210,5.89,12,4.01,0.88,10.37,-4.48,-70.44%
045663188993,B000HCI5CG,"Four Paws Wee-Wee Super Absorbent Disposable Dog Diaper Liner Pads, 24 Count",0.05,Central Garden & Pet,17537,6.18,10,4.06,0.93,4.11,2.07,4140.00%
45663018443,B002USK6X6,"Four Paws Magic Coat Professional Series Grooming Brushes for Dogs & Cats l Trimmers, Nail Clippers, & Brushes Dog & Cat",5.63,Central Garden & Pet,52381,8.27,15,4.37,1.24,10,-1.73,-30.73%
45663111052,B000HCJX2C,"Four Paws Magic Coat Professional Series Grooming Brushes for Dogs & Cats l Trimmers, Nail Clippers, & Brushes Dog & Cat",4.48,Central Garden & Pet,28729,7.92,7,4.32,1.19,8.8,-0.88,-19.64%
035368002076,B000YK5W18,Fish Mate F14 Automatic Fish Feeder for Aquarium - Vacation or Daily Use with included clamps - Serves up to 14 Meals,3,Ani Mate Inc,17562,22.49,4,7.52,3.37,10.52,11.97,399.00%
010838105150,B0002APRLA,"Lee's Convalescent Home/Specimen Container, Small",5.48,Lee's Pet Products,17640,13.73,23,7.05,2.06,12.53,1.2,21.90%
015905002448,B0BXVSG23D,Aqueon Stick'ems Freeze-Dried Picky Eater Pet Fish Treat,0.05,Central Garden & Pet,17750,6.59,9,3.9,0.99,3.95,2.64,5280.00%
015905002455,B0BXVNXC5M,"Aqueon Stick'ems Freeze-Dried Color Boosting Pet Fish Treat , 0.42 oz",0.75,Central Garden & Pet,17750,6.95,8,4.17,1.04,4.92,2.03,270.67%
45663150105,B00HYET6YG,Four Paws Wee Wee Housebreaking Aid Pump Spray 8 oz,1,Four Paws,325344,0,4,5.74,0.3,6.74,-6.74,-674.00%
45663158200,B005BV12XC,Four Paws Wee-Wee Premium Patch Indoor and Outdoor Pet Potty for Dogs l Dog Potty Training l Artificial Grass l Wee-Wee Patch,27.21,Central Garden & Pet,58463,26.59,8,14.18,3.99,41.39,-14.8,-54.39%
45663158538,B005BUZJAU,Four Paws Wee-Wee Premium Patch Indoor and Outdoor Pet Potty for Dogs l Dog Potty Training l Artificial Grass l Wee-Wee Patch,13.09,Central Garden & Pet,58463,19.77,17,13.72,2.97,26.81,-7.04,-53.78%
45663158538,B00F542IB0,Four Paws Replacement Grass For Wee Wee Patch,13.09,Four Paws Products Ltd,1512625,0,9,11.04,0.3,24.13,-24.13,-184.34%
45663160005,B0002AT14O,"Four Paws Wee-Wee Superior Performance Pee Pads for Dogs of All Sizes, Leak-Proof Floor Protection Dog & Puppy Quilted Potty Training Pads, Unscented, 22"" x 23"" (7 Count)",5.3,Central Garden & Pet,1671,7.49,18,5.25,1.12,10.55,-3.06,-57.74%
45663160005,B00BUG0F9O,Wee-Wee Pads,5.3,FOUR PAWS PET PRODUCTS,584361,11.95,6,7.56,1.79,12.86,-0.91,-17.17%
45663170103,B00063KN44,Four Paws Keep Off! Cat Repellent Spray Outdoors & Indoor 6 Ounces,2.96,Central Garden & Pet,4664,5.21,9,4.95,0.78,7.91,-2.7,-91.22%
45663182304,B0002AT3RO,"Four Paws Allen's Spring Action Dog Scooper For Grass Standard Black 5.13"" x 5.5"" x 24.75""",19.68,Central Garden & Pet,93077,28.23,11,16.12,4.23,35.8,-7.57,-38.47%
015905002462,B0BXVNLBPZ,Aqueon Stick'ems Freeze-Dried High Protein Pet Fish Treat,0.5,Central Garden & Pet,17750,6.09,9,3.82,0.91,4.32,1.77,354.00%
076711007409,B07SG72YDK,"Lixit Quick Lock Removable Dog Kennel Bowls for Wire and Soft Sided Crates (40oz Wire Crate, Granite Pack of 2)",14.15,Lixit Corp - Howard Pet,17782,30.38,5,11.88,4.56,26.03,4.35,30.74%
076711007904,B0006B4D10,"Lixit Quick Lock Removable Dog Kennel Bowls for Wire and Soft Sided Crates (10oz Wire Crate, Granite)",3.06,Lixit,17782,9.99,7,4.88,1.5,7.94,2.05,66.99%
45663188993,B004FO7HF8,Four Paws Pet Products Wee-Wee Diaper Garment and Garment Pads Fp Diaper Garment Pads 24Ct Clothing & Apparel,0.05,Central Pet Four Paws,465277,0,1,,,,,nan%
000116150606,B004YLJ822,"Reef Phytoplankton, 250 mL / 8.5 fl. oz.",1.25,"Seachem Laboratories, Inc.",17880,8.99,10,4.73,1.35,5.98,3.01,240.80%
45663571306,B0002ATB4O,"Four Paws Wood Frame Dog Gate With Plastic Mesh, 26-42"" W by 24"" H",27.93,Central Garden & Pet,287284,39.7,5,19.37,5.96,47.3,-7.6,-27.21%
097612110517,B004HSOUMA,Zoo Med Block Value Pack for Aquatic Turtle [Set of 2],0.05,Zoo Med,17918,13.38,11,7,2.01,7.05,6.33,12660.00%
025033027121,B001BO50ZY,"Danner Manufacturing, Inc., Supreme Aqua-Mag 1200 GPH Magnetic Drive Water Pumps for Aquarium, 02712",85.71,"Danner Manufacturing, Inc.",17977,123.99,12,27.28,18.6,112.99,11,12.83%
000676002797,B002ZMFM4A,JW Aquarium SmartTemp Thermometer,0.05,JW Pet Company,18213,8.29,8,4.97,1.24,5.02,3.27,6540.00%
073091053477,B07RJ6XB48,"SENTRY PET Care Sentry Calming Spray for Cats, Uses Pheromones to Reduce Stress, Easy Spray Application, Helps Cats with Separation, Travel, Loud Noises, and Anxiety, Packaging May Vary",0.05,Sergeant's Pet Care,18509,13.77,14,6.57,2.07,6.62,7.15,14300.00%
080531900048,B09F4HV8HH,Fritz Aquatics ParaCleanse Provides Fast Relief from Parasitic Diseases (20-Count),12.97,Fritz Aquatics,19136,23.98,1,7.28,3.6,20.25,3.73,28.76%
45663590505,B00B39SX24,Dog Quick Fit Muzzle Size: 5,1.5,Four Paws,412007,14.37,5,,,,,nan%
45663590505,B001CCPVAE,Quick Fit Muzzle,1.5,FOUR PAWS PET PRODUCTS,459549,0,4,2.68,0.3,4.18,-4.18,-278.67%
45663591656,B001LUHGKU,"Four Paws Walk-About Comfort Control Tug Free Dog Harness, Adjustable Soft Padded Beathable Air Mesh Dog Vest, Red, Medium",6.06,Central Garden & Pet,39190,0,12,4.43,0.3,10.49,-10.49,-173.10%
097612009613,B075JQ8MN9,Zoo Med (3 Pack) Hermit Crab Fruit-Salad All Natural Fruit Treat,0.05,Zoo Med Labs,19153,13.8,11,5.97,2.07,6.02,7.78,15560.00%
45663591663,B001LUJKAO,Four Paws Comfort Control Dog Harness Blue Medium,6.06,Central Garden & Pet,39190,11.67,12,5.65,1.75,11.71,-0.04,-0.66%
097612009613,B00S594298,Zoo Med Hermit Crab Fruit Salad Treat [Set of 2],0.05,Zoo Med,19153,11.26,11,5.59,1.69,5.64,5.62,11240.00%
077234541814,B01NBMQUBB,"SPOT Ducks Mini Skinneeez Tugs Stuffingless Dog Toy, 14"", 1Piece/ Style May Vary, Assorted (54181)",1,Ethical Products/Fashion Pet,19836,8.4,11,5.39,1.26,6.39,2.01,201.00%
45663847104,B0002APKAI,Four Paws Heavy Weight Tie Out Cable Silver 10 Feet,13.61,Central Garden & Pet,30706,12.32,11,6,1.85,19.61,-7.29,-53.56%
45663847203,B004LODFI0,Four Paws Heavy Weight Tie Out Cable Silver 20 Feet,14.42,Central Garden & Pet,30706,12.98,7,6.1,1.95,20.52,-7.54,-52.29%
45663847302,B0002DHLVG,Four Paws Heavy Weight Tie Out Cable Silver 30 Feet,17.3,Central Garden & Pet,30706,19.02,13,8.22,2.85,25.52,-6.5,-37.57%
045125611496,B004GH8JRO,Kaytee Perfect Chews for Chinchillas,0.05,Central Garden & Pet,19935,6.19,9,3.84,0.93,3.89,2.3,4600.00%
45663856205,B0002DHMW4,Four Paws Medium Weight Dog Tie Out Cable,11.9,Central Garden & Pet,52185,15.9,7,6.54,2.39,18.44,-2.54,-21.34%
45663856304,B0002APL8O,Four Paws Medium Weight Dog Tie Out Cable,10.32,Central Garden & Pet,52185,10.19,3,6.52,1.53,16.84,-6.65,-64.44%
45663950002,B0002APLYS,Four Paws Walk About Dog Spiral Tie Out Stake,11.75,Central Garden & Pet,383653,0,8,9.9,0.3,21.65,-21.65,-184.26%
018214848790,B07XC3HXDP,"Nylabone Power Play Crazy Ball Interactive Play Toy, Fetch Ball Toy for Dogs, Large (1 Count)",0.75,Central Garden & Pet,20305,5.99,9,4.03,0.9,4.78,1.21,161.33%
051233359809,B07YLL8717,Vitakraft Meaty Morsels Treats for Dogs - Chicken with Beef and Carrots - Super Soft Dog Treats for Training - Two Layers of Gently Oven-Baked Meaty Goodness,1.97,Vitakraft Sun Seed,20835,8.55,10,4.66,1.28,6.63,1.92,97.46%
45663975593,B08BG2HLLP,Magic Coat Four Paws Comb with Rotating Pins Dog Brush Removes Tangles and Mats,1.25,Magic Coat,224846,0,7,3.68,0.3,4.93,-4.93,-394.40%
015561104913,B001XRR3E0,Fluval U3 Underwater Filter Poly/Carbon,0.75,Rolf C. Hagen (USA) Corp.,21069,7.57,10,4.05,1.14,4.8,2.77,369.33%
097612240504,B003ZW9AU6,Zoo Med Laboratories AZMFA50 Sinking Ceramic Betta Log 4.25 inche,0.05,TopDawg Pet Supply,21937,5.44,13,3.73,0.82,3.78,1.66,3320.00%
015905002677,B0CGVVS6CP,"Aqueon AquaPacs Ammonia Reducer 12 Pack, 10 Gallon",0.05,Central Garden & Pet,22524,8.81,5,3.7,1.32,3.75,5.06,10120.00%
45663971069,B00K6ZR2ZK,"Four Paws Magic Coat Professional Series Grooming Brushes for Dogs & Cats l Trimmers, Nail Clippers, & Brushes Dog & Cat",4.58,Central Garden & Pet,157479,7.94,12,5.79,1.19,10.37,-2.43,-53.06%
45663971069,B00U9O1NNK,Four Paws Products FP97106 Dual Side Combo Brush - Small,4.58,Four Paws,423172,0,4,2.96,0.3,7.54,-7.54,-164.63%
015905002660,B0CGVY4L9N,"Aqueon AquaPacs Ammonia Reducer 4 Pack, 10 Gallon",0.05,Central Garden & Pet,22524,7.5,8,4.04,1.13,4.09,3.41,6820.00%
097612370607,B00DDZA6G2,Zoo Med Daylight Blue Reptile Bulb [Set of 2] Watt: 60 Watts,4.04,Zoo Med,22796,14.74,6,6.36,2.21,10.4,4.34,107.43%
45663971144,B00J24OZ74,"Four Paws Wee-Wee Super Absorbent Pee Pads for Dogs of All Sizes, Leak-Proof Floor Protection Dog & Puppy Quilted Potty Training Pads, Unscented, 24"" x 24"" (40 Count)",21.16,Central Garden & Pet,11408,16.99,4,10.2,2.55,31.36,-14.37,-67.91%
45663971144,B07HHHVK2R,Four Paws Super Absorbent Wee-Wee Dog Pads 40 ct,21.16,FOUR PAWS PRODUCTS,338463,20.52,4,10.24,3.08,31.4,-10.88,-51.42%
45663971144,B07NWVRLNX,Wee Wee Super Absorbent Pads,21.16,Four Paws,525792,19.15,3,11.87,2.87,33.03,-13.88,-65.60%
45663972295,B01D8N22JW,"Four Paws Wee-Wee Superior Performance Pee Pads for Dogs of All Sizes, Leak-Proof Floor Protection Dog & Puppy Quilted Potty Training Pads, Unscented, 22"" x 23"" (200 Count)",52.12,Central Garden & Pet,1671,59.82,10,24.86,8.97,76.98,-17.16,-32.92%
45663972349,B01D8N22HO,"Four Paws Wee-Wee Superior Performance XL Pee Pads for Extra Large Dogs, Leak-Proof Floor Protection Dog & Puppy Quilted Potty Training Pads, Unscented, 28"" x 34"" (75 Count)",45.12,Central Garden & Pet,1237,58.23,8,24.24,8.73,69.36,-11.13,-24.67%
45663972691,B01IJZFWUK,"Four Paws Wee-Wee Superior Performance Eco Pee Pads for Dogs - Earth-Friendly Dog & Puppy Pads for Potty Training - Dog Housebreaking & Puppy Supplies - 22"" x 23"" (50 Count),White",23.11,Central Garden & Pet,10980,21.51,5,11.67,3.23,34.78,-13.27,-57.42%
45663974350,B07GS5VM38,"Four Paws Wee-Wee Odor Control with Febreze Freshness Pee Pads for Dogs of All Sizes, Leak-Proof Floor Protection Dog & Puppy Quilted Potty Training Pads, Spring Fresh Scent, 22"" x 23"" (50 Count)",18.22,Central Garden & Pet,2379,22.69,9,11.76,3.4,29.98,-7.29,-40.01%
45663974367,B07GT3TH66,"Four Paws Wee-Wee Odor Control with Febreze Freshness Pee Pads for Dogs of All Sizes, Leak-Proof Floor Protection Dog & Puppy Quilted Potty Training Pads, Spring Fresh Scent, 22"" x 23"" (100 Count)",29.99,Central Garden & Pet,2379,37.95,7,15.41,5.69,45.4,-7.45,-24.84%
45663974404,B07X7KHQ6L,Four Paws Wee-Wee Disposable Dog Diapers Small (36 Count),21.97,Central Garden & Pet,6766,26.33,13,10.96,3.95,32.93,-6.6,-30.04%
45663974411,B07X5MHH8S,Four Paws Wee-Wee Disposable Dog Diapers Medium (36 Count),26.47,Central Garden & Pet,6766,29.76,11,12.03,4.46,38.5,-8.74,-33.02%
